case_id,title,preconditions,steps,expected_result,obtained_result,observations,exec_count,test_status,feature_name,sprint,created_at,module
1-HU1-1,"Visualización de la opción 'Cotización' en el menú izquierdo tras cargar la Bandeja de Entrada Cliente","Haber accedido al 'Portal de Clientes'","1) Filtrar el cliente por RNC, nombre o Código SAP en 'Mis Clientes'. 2) Clic en la flecha azul de la última columna. 3) En el modal del cliente, clic en 'Ir a ver Como'. 4) Revisar el menú izquierdo.","La opción 'Cotización' aparece correctamente en el menú izquierdo.","La opción 'Cotización' aparece correctamente en el menú izquierdo.","",3,"Ejecución exitosa","Ingresar al módulo de cotizaciones",1,"2025-01-03","Cotizaciones"
1-HU1-2,"Redirección a la página de Cotizaciones al hacer clic en 'Cotización'","Haber accedido al 'Portal de Clientes' y cargado la información del cliente","1) Hacer clic en la opción 'Cotización' del menú izquierdo.","El usuario es redirigido correctamente a la página de Cotizaciones.","El usuario es redirigido correctamente a la página de Cotizaciones.","",3,"Ejecución exitosa","Ingresar al módulo de cotizaciones",1,"2025-01-03","Cotizaciones"
1-HU1-3,"Cargar la página de Cotizaciones en menos de 3 segundos","Haber accedido al 'Portal de Clientes' y cargado la información del cliente","1) Hacer clic en la opción 'Cotización' del menú izquierdo.","La página de Cotizaciones carga correctamente en menos de 3 segundos. (Prueba de carga)","La página de Cotizaciones no carga correctamente en menos de 3 segundos. (Prueba de carga)","La página se tarda en cargar",2,"Falló en su ejecución","Ingresar al módulo de cotizaciones",1,"2025-01-03","Cotizaciones"
1-HU1-4,"Contenido correcto en la página de Cotizaciones tras la redirección","Haber accedido al 'Portal de Clientes' y cargado la información del cliente","1) Hacer clic en la opción 'Cotización' del menú izquierdo. 2) Revisar el contenido de la página de Cotizaciones.","El contenido de la página de Cotizaciones es visible y correcto.","El contenido de la página de Cotizaciones es visible y correcto.","",3,"Ejecución exitosa","Ingresar al módulo de cotizaciones",1,"2025-01-03","Cotizaciones"	
1-HU-5612-1,Visualizar el botón Historial de cotizaciones en el header del sistema,,"1) 1. LogIn en el portal Metaldon. 2) 2. Seleccionar un cliente con su proyecto correspondiente. 3) 3. Clic en la opción de menú Cotizacion. 4) 4. Validar que en el Header existe un botón ""Historial de cotizaciones"".","Debe existir un nuevo botón ubicado en el header del portal junto a los otros botones ya existentes, llamadado historial de cotizaciones",4. El botón debe estar ubicado en el header del portal junto a los otros botones ya existentes,,1,No se ejecutó ,Habilitar botón histórico de cotizaciones el el header de la aplicación,7,2025-01-04,Botón Historial Cotizaciones	
1-HU-5612-2,Ver los tooltips de los botones del HeaderVer los tooltips de los botones del Header,,"1) 1. LogIn en el portal Metaldon. 2) 2. Seleccionar un cliente con su proyecto correspondiente. 3) 3. Clic en la opción de menú Cotizacion. 4) 4. En los botones ubicados en el Header del portal, ubicar el puntero del maouse sobre cada uno de ellos.","Cada botón señalado con el puntero de mouse, debe desplegar su respectivo Tooltip que lo identifica","4. al ubicar el puntero del mouse en cada botón debe salir su respectivo tooltip identificador: 1er botón: Historial de cotizaciones 2do botón: Tus productos cotizados 3er botón: Calificar experiencia	
4to botón: Mi cuenta",,1,No se ejecutó ,Habilitar botón histórico de cotizaciones el el header de la aplicación,7,2025-01-04,Tooltips	
1. HU 6217-1,Activar botonEliminar Productos,,"1) 1. LogIn en el portal Metaldon. 2) 2. Seleccionar un cliente con su proyecto correspondiente. 3) 3. Clic en la opción de menú Cotizacion. 4) 4. Clic en e carrito de compras - pestaña Lista de espera. 5) 5. Clic en el botón Gestionar mi lista de espera. 6) 6. Seleccionar el producto desde el botón Check Box. 7) 7. Clic en el botón ""Eliminar Producto"".",,"5. En las pestaña No disponibles deben salir los productos en lista de espera	
6. Se activan los botones ""Eliminar producto"" y ""Activar Notificaciones""	
7. El producto se debe eliminar de la lista No disponibles",,1,No se ejecutó ,Botones en gestionar mi ista de espera,8,2025-03-04,Gestionar Mi lista de espera - No disponibles	
1. HU 6217-2,Activar boton Activar Notificaciones,,"1) 1. LogIn en el portal Metaldon. 2) 2. Seleccionar un cliente con su proyecto correspondiente. 3) 3. Clic en la opción de menú Cotizacion. 4) 4. Clic en e carrito de compras - pestaña Lista de espera. 5) 5. Clic en el botón Gestionar mi lista de espera. 6) 6. Seleccionar el producto desde el botón Check Box. 7) 7. Clic en el botón ""Activar Notificaciones"".",,"5. En las pestaña No disponibles deben salir los productos en lista de espera	
6. Se activan los botones ""Eliminar producto"" y ""Activar Notificaciones""	
7. El icono de notificaciones del producto (campana) se debe resaltar indicando que está activado",,1,No se ejecutó ,Botones en gestionar mi ista de espera,8,2025-03-04,Gestionar Mi lista de espera - No disponibles	
1. HU 6217-3,Activar boton Desactivar Notificaciones,,"1) 1. LogIn en el portal Metaldon. 2) 2. Seleccionar un cliente con su proyecto correspondiente. 3) 3. Clic en la opción de menú Cotizacion. 4) 4. Clic en e carrito de compras - pestaña Lista de espera. 5) 5. Clic en el botón Gestionar mi lista de espera. 6) 6. Seleccionar el producto desde el botón Check Box que tienen las notificaciones activas. 7) 7. Clic en el botón ""Desactivar Notificaciones"".",,"5. En las pestaña No disponibles deben salir los productos en lista de espera	
6. Se activan los botones ""Eliminar producto"" y ""Activar Notificaciones""	
7. El icono de notificaciones del producto (campana) cambia de color indicando que está desactivadas las notificaciones",,1,No se ejecutó ,Botones en gestionar mi ista de espera,8,2025-03-04,Gestionar Mi lista de espera - No disponibles	
1. HU 6217-4,Eliminar producto desde el ícono en la columna Acciones,,1) 1. LogIn en el portal Metaldon. 2) 2. Seleccionar un cliente con su proyecto correspondiente. 3) 3. Clic en la opción de menú Cotizacion. 4) 4. Clic en e carrito de compras - pestaña Lista de espera. 5) 5. Clic en el botón Gestionar mi lista de espera. 6) 6. Cli en la pestaña No disponibles. 7) 7. Dar clic en el ícono Borrar de uno de los productos de la lista.,,"5. En las pestaña No disponibles deben salir los productos en lista de espera	
7. El producto debe desaparecer de la lista No disponibles de la lista de espera",,1,No se ejecutó ,Botones en gestionar mi ista de espera,8,2025-03-04,Gestionar Mi lista de espera - No disponibles	
